cve,epss,percentile,date
CVE-2025-10083,0.00064,0.19915,2025-11-15
CVE-2025-9923,0.00057,0.17612,2025-11-16
CVE-2025-9801,0.00113,0.30599,2025-11-16
CVE-2025-9800,0.00051,0.15656,2025-11-16
CVE-2025-9796,0.00045,0.13501,2025-11-16
CVE-2025-9794,0.00055,0.1722,2025-11-16
CVE-2025-9789,0.00051,0.15624,2025-11-16
CVE-2025-11031,0.00159,0.3739,2025-11-16
CVE-2025-10779,0.00079,0.23934,2025-11-16
CVE-2025-10769,0.00057,0.17705,2025-11-16
CVE-2025-10083,0.00064,0.19873,2025-11-16
CVE-2025-9923,0.00057,0.17581,2025-11-17
CVE-2025-9801,0.00113,0.30581,2025-11-17
CVE-2025-9800,0.00051,0.15608,2025-11-17
CVE-2025-9796,0.00045,0.13478,2025-11-17
CVE-2025-9794,0.00055,0.17182,2025-11-17
CVE-2025-9789,0.00051,0.15575,2025-11-17
CVE-2025-11031,0.00159,0.37369,2025-11-17
CVE-2025-10779,0.00079,0.23892,2025-11-17
CVE-2025-10769,0.00057,0.17673,2025-11-17
CVE-2025-10083,0.00064,0.19801,2025-11-17
CVE-2025-9923,0.00057,0.1323,2025-11-18
CVE-2025-9801,0.00113,0.2542,2025-11-18
CVE-2025-9800,0.00051,0.11174,2025-11-18
CVE-2025-9796,0.00041,0.0781,2025-11-18
CVE-2025-9794,0.00055,0.12726,2025-11-18
CVE-2025-9789,0.00051,0.11142,2025-11-18
CVE-2025-11031,0.00147,0.29646,2025-11-18
CVE-2025-10779,0.00079,0.19575,2025-11-18
CVE-2025-10769,0.00057,0.1336,2025-11-18
CVE-2025-10083,0.00064,0.15557,2025-11-18
CVE-2025-9923,0.00057,0.13247,2025-11-19
CVE-2025-9801,0.00113,0.25444,2025-11-19
CVE-2025-9800,0.00051,0.11192,2025-11-19
CVE-2025-9796,0.00041,0.07823,2025-11-19
CVE-2025-9794,0.00055,0.12746,2025-11-19
CVE-2025-9789,0.00051,0.11159,2025-11-19
CVE-2025-11031,0.00147,0.29666,2025-11-19
CVE-2025-10779,0.00079,0.19599,2025-11-19
CVE-2025-10769,0.00057,0.13378,2025-11-19
CVE-2025-10083,0.00064,0.15569,2025-11-19
CVE-2025-9923,0.00057,0.13263,2025-11-20
CVE-2025-9801,0.00113,0.25452,2025-11-20
CVE-2025-9800,0.00051,0.11215,2025-11-20
CVE-2025-9796,0.00041,0.07857,2025-11-20
CVE-2025-9794,0.00055,0.1276,2025-11-20
CVE-2025-9789,0.00051,0.11182,2025-11-20
CVE-2025-11031,0.00147,0.29668,2025-11-20
CVE-2025-10779,0.00079,0.19581,2025-11-20
CVE-2025-10769,0.00057,0.13394,2025-11-20
CVE-2025-10083,0.00064,0.15551,2025-11-20
CVE-2025-9923,0.00057,0.17598,2025-11-21
CVE-2025-9801,0.00117,0.31198,2025-11-21
CVE-2025-9800,0.00055,0.1711,2025-11-21
CVE-2025-9796,0.00045,0.135,2025-11-21
CVE-2025-9794,0.00055,0.17199,2025-11-21
CVE-2025-9789,0.00051,0.15608,2025-11-21
CVE-2025-11031,0.00159,0.37376,2025-11-21
CVE-2025-10779,0.00079,0.23838,2025-11-21
CVE-2025-10769,0.00057,0.17688,2025-11-21
CVE-2025-10083,0.00064,0.19773,2025-11-21
CVE-2025-9923,0.00057,0.17612,2025-11-22
CVE-2025-9801,0.00117,0.31208,2025-11-22
CVE-2025-9800,0.00055,0.1712,2025-11-22
CVE-2025-9796,0.00045,0.13493,2025-11-22
CVE-2025-9794,0.00055,0.1721,2025-11-22
CVE-2025-9789,0.00051,0.15611,2025-11-22
CVE-2025-11031,0.00159,0.37377,2025-11-22
CVE-2025-10779,0.00079,0.23835,2025-11-22
CVE-2025-10769,0.00057,0.17703,2025-11-22
CVE-2025-10083,0.00064,0.19772,2025-11-22
CVE-2025-9923,0.00057,0.1758,2025-11-23
CVE-2025-9801,0.00117,0.3118,2025-11-23
CVE-2025-9800,0.00055,0.17089,2025-11-23
CVE-2025-9796,0.00045,0.13473,2025-11-23
CVE-2025-9794,0.00055,0.17178,2025-11-23
